,serial_number,countries,total_cases,new_cases,total_death,new_deaths,total_recovered,active_cases,serious_critical,total_cases_permn,total_deaths_permn,total_tests,total_test_permillion,total_pop
143,136,Syria,26554,,"1,947",,"22,202",,"2,405",,"1,477",108,"103,566","5,760"
24,17,South Africa,2638981,,"78,377",,"2,402,020",,"158,584",546,"43,872","1,303","15,752,534","261,880"
86,79,Moldova,263074,,"6,328",,"254,452",,"2,294",51,"65,387","1,573","1,505,930","374,296"
87,80,Slovenia,262571,+381,"4,438",+2,"255,331",+137,"2,802",10,"126,281","2,134","1,420,805","683,322"
196,189,Bhutan,2580,+3,3,,"2,535",+2,42,,"3,303",4,"798,573","1,022,252"
197,190,British Virgin Islands,2568,+7,37,,"2,500",+18,31,7,"84,313","1,215","77,252","2,536,345"
198,191,Turks and Caicos,2568,,19,,"2,471",,78,1,"65,332",483,"94,789","2,411,504"
144,137,Gabon,25626,,165,,"25,395",,66,5,"11,216",72,"1,046,805","458,159"
199,192,Sao Tome and Principe,2496,,37,,"2,396",,63,,"11,156",165,"14,689","65,652"
145,138,Guyana,23795,,587,,"22,105",,"1,103",15,"30,088",742,"248,706","314,485"
88,81,Armenia,236234,+559,"4,727",+11,"223,443",+216,"8,064",,"79,553","1,592","1,461,464","492,158"
200,193,St. Vincent Grenadines,2320,,12,,"2,258",,50,2,"20,837",108,"64,600","580,215"
89,82,S. Korea,230808,"+2,151","2,191",+13,"201,235","+1,653","27,382",354,"4,498",43,"12,566,254","244,865"
220,213,Montserrat,23,,1,,20,,2,,"4,605",200,"1,408","281,882"
90,83,Qatar,229915,,601,,"226,562",,"2,752",24,"81,884",214,"2,432,003","866,158"
25,18,Ukraine,2270226,"+1,560","53,368",+32,"2,199,118",+898,"17,740",177,"52,265","1,229","11,749,847","270,505"
91,84,Kenya,224400,,"4,378",,"207,450",,"12,572",161,"4,072",79,"2,278,763","41,354"
26,19,Peru,2137295,,"197,659",,N/A,N/A,N/A,"1,495","63,820","5,902","16,235,798","484,802"
7,,World,210311542,"+243,770","4,409,757","+5,287","188,404,812","+212,155","17,496,973","108,167","26,981",565.7,,
92,85,Bosnia and Herzegovina,208644,+377,"9,721",+3,"192,218",,"6,705",,"64,046","2,984","1,111,191","341,092"
146,139,Haiti,20689,,582,,"16,498",,"3,609",,"1,790",50,"105,799","9,153"
10,3,Brazil,20458221,,"571,703",,"19,362,990",,"523,528","8,318","95,481","2,668","56,023,684","261,470"
93,86,Zambia,203169,,"3,556",,"196,936",,"2,677",196,"10,714",188,"2,194,744","115,741"
221,214,Solomon Islands,20,,,,20,,0,,28,,"4,500","6,375"
227,220,Saint Helena,2,,,,2,,0,,328,,,
147,140,Mayotte,19625,+11,175,,"2,964",,"16,486",1,"70,035",625,"176,919","631,362"
148,141,Seychelles,19186,,101,,"18,601",,484,,"193,731","1,020","21,504","217,138"
27,20,Netherlands,1909211,,"17,927",,"1,789,517",,"101,767",206,"111,145","1,044","16,378,211","953,458"
94,87,Algeria,189384,,"4,898",,"127,904",,"56,582",30,"4,233",109,"230,861","5,160"
95,88,Mongolia,188412,"+1,875",891,+2,"179,571","+1,672","7,950",192,"56,449",267,"3,446,882","1,032,691"
213,206,Grenada,188,,1,,173,,14,,"1,662",9,"52,167","461,198"
149,142,Togo,18605,,172,,"15,741",,"2,692",,"2,190",20,"437,941","51,541"
96,89,Nigeria,183444,,"2,229",,"167,459",,"13,756",11,866,11,"2,648,684","12,501"
28,21,Iraq,1801364,,"19,886",,"1,623,886",,"157,592","1,049","43,682",482,"13,872,209","336,394"
29,22,Philippines,1791003,"+14,895","30,881",+258,"1,648,402","+8,248","111,720","2,716","16,102",278,"17,814,238","160,164"
150,143,Papua New Guinea,17832,,192,,"17,547",,93,7,"1,951",21,"150,870","16,510"
201,194,Caribbean Netherlands,1765,+4,17,,"1,715",,33,,"66,609",642,"20,071","757,453"
97,90,Kyrgyzstan,173186,+249,"2,468",+6,"164,842",+498,"5,876",131,"26,061",371,"1,616,668","243,274"
30,23,Czechia,1677029,+206,"30,382",+1,"1,644,064",+19,"2,583",13,"156,273","2,831","34,870,152","3,249,350"
151,144,Bahamas,16723,,313,,"13,361",,"3,049",19,"42,072",787,"127,754","321,407"
152,145,Somalia,16535,,897,,"8,010",,"7,628",,"1,009",55,"186,064","11,351"
98,91,North Macedonia,164529,,"5,589",,"151,235",,"7,705",,"78,976","2,683","1,079,818","518,327"
31,24,Chile,1630831,,"36,456",,"1,587,619",,"6,756",961,"84,493","1,889","19,594,588","1,015,193"
153,146,Tajikistan,16275,,124,,"15,972",,179,,"1,664",13,,
154,147,Taiwan,15897,+6,826,+5,"14,811",+331,260,,666,35,"4,543,146","190,365"
214,207,Anguilla,154,+17,,,132,+8,22,,"10,162",,"37,111","2,448,924"
99,92,Afghanistan,152448,+37,"7,054",+7,"107,927",,"37,467","1,124","3,819",177,"747,442","18,726"
155,148,Belize,15182,,347,,"14,021",,814,6,"37,416",855,"203,426","501,349"
156,149,Andorra,14976,,129,,"14,711",,136,4,"193,476","1,667","193,595","2,501,066"
32,25,Malaysia,1489460,"+22,948","13,480",+178,"1,220,446","+21,720","255,534","1,060","45,364",411,"20,972,528","638,754"
157,150,Curaçao,14751,,135,,"13,981",,635,4,"89,481",819,"216,163","1,311,263"
158,151,Mali,14714,,535,,"14,035",,144,,704,26,"365,687","17,492"
100,93,Uzbekistan,146459,+844,"1,002",+8,"139,021",+791,"6,436",23,"4,306",29,"1,377,915","40,508"
101,94,Norway,146373,,811,,"88,952",,"56,610",4,"26,764",148,"6,775,622","1,238,897"
33,26,Canada,1460175,,"26,761",,"1,412,636",,"20,778",212,"38,309",702,"39,577,368","1,038,353"
34,27,Bangladesh,1447210,"+6,566","24,878",+159,"1,337,181","+10,153","85,151","1,447","8,690",149,"8,559,054","51,393"
159,152,Lesotho,14363,,400,,"6,763",,"7,200",,"6,645",185,"145,986","67,542"
102,95,Botswana,142380,,"2,043",,"126,597",,"13,740",1,"59,200",849,"1,588,907","660,648"
202,195,Antigua and Barbuda,1421,,43,,"1,277",,101,9,"14,376",435,"17,409","176,126"
103,96,Mozambique,140765,,"1,761",,"122,222",,"16,782",32,"4,366",55,"815,154","25,284"
104,97,Latvia,140651,+146,"2,567",+1,"136,646",+70,"1,438",10,"75,513","1,378","3,280,174","1,761,072"
5,,Oceania,139856,"+1,544","1,854",+9,"99,775","+1,040","38,227",158,,,,
105,98,Estonia,138157,+357,"1,281",,"131,272",+188,"5,604",13,"104,070",965,"1,703,121","1,282,912"
106,99,Albania,137075,,"2,471",,"130,822",,"3,782",3,"47,691",860,"979,455","340,769"
160,153,Burkina Faso,13680,,171,,"13,437",,72,,635,8,"206,554","9,586"
203,196,Tanzania,1367,,50,,183,,"1,134",7,22,0.8,,
161,154,Aruba,13621,,121,,"12,424",,"1,076",14,"126,969","1,128","177,885","1,658,168"
162,155,Timor-Leste,13433,+278,41,+1,"10,663",+55,"2,729",,"9,975",30,"169,501","125,862"
215,208,New Caledonia,134,,,,58,,76,,464,,"38,831","134,552"
163,156,Congo,13398,,179,,"12,421",,798,,"2,363",32,"188,207","33,189"
204,197,St. Barth,1336,,2,,462,,872,,"134,800",202,"38,369","3,871,355"
107,100,Namibia,122885,,"3,300",,"116,704",,"2,881",43,"47,396","1,273","640,040","246,860"
108,101,Zimbabwe,121498,,"4,181",,"101,837",,"15,480",12,"8,043",277,"1,200,632","79,476"
164,157,Hong Kong,12048,+5,212,,"11,759",+4,77,,"1,592",28,"22,744,169","3,006,256"
35,28,Japan,1202012,"+23,918","15,501",+34,"1,011,867","+14,572","174,644","1,765","9,537",123,"20,220,035","160,427"
109,102,Finland,120186,+866,"1,008",,"46,000",,"73,178",29,"21,653",182,"6,276,034","1,130,727"
165,158,Djibouti,11689,,156,,"11,516",,17,,"11,640",155,"200,971","200,132"
36,29,Belgium,1159366,"+2,746","25,305",+6,"1,080,579","+1,330","53,482",172,"99,546","2,173","18,149,022","1,558,314"
166,159,Laos,11313,+284,9,,"4,435",+195,"6,869",,"1,530",1,"352,120","47,619"
110,103,Ghana,112928,+550,945,,"105,622",+454,"6,361",53,"3,551",30,"1,544,519","48,565"
167,160,CAR,11251,,99,,"6,859",,"4,293",2,"2,285",20,"60,228","12,231"
168,161,South Sudan,11223,,120,,"10,917",,186,,990,11,"204,344","18,017"
37,30,Sweden,1115566,,"14,626",,"1,081,163",+517,"19,777",30,"109,688","1,438","11,536,406","1,134,318"
38,31,Pakistan,1113647,"+4,373","24,713",+74,"999,403","+2,977","89,531","4,939","4,934",109,"17,063,290","75,595"
111,104,Cyprus,110098,,467,,"90,755",,"18,876",92,"90,446",384,"9,366,973","7,695,015"
39,32,Romania,1089189,+595,"34,379",+14,"1,050,969",+369,"3,841",153,"57,048","1,801","11,083,705","580,525"
112,105,Montenegro,107576,,"1,657",,"101,007",,"4,912",6,"171,257","2,638","569,602","906,784"
169,162,Nicaragua,10251,,197,,"4,225",,"5,829",,"1,527",29,,
170,163,Burundi,10198,,38,,773,,"9,387",,830,3,"345,742","28,135"
171,164,Benin,10183,,119,,"8,136",,"1,928",5,816,10,"604,310","48,422"
40,33,Portugal,1009571,,"17,601",,"947,465",,"44,505",139,"99,337","1,732","16,322,878","1,606,092"
172,165,Channel Islands,10005,,92,,"9,398",,515,,"56,953",524,"770,805","4,387,776"
222,215,Western Sahara,10,,1,,8,,1,,16,2,,
228,221,Micronesia,1,,,,1,,0,,9,,,
